date,market,currency,actual,arima_forecast,lightgbm_forecast
2026-03-20,California,USD,29.71,32.545410040318274,32.31782661463539
2026-03-23,California,USD,32.92,32.51333600119793,32.843941716354024
2026-03-24,California,USD,32.74,32.51461329342673,32.58750293424976
2026-03-25,California,USD,32.9,32.51456242750891,32.574572760662804
2026-03-26,California,USD,32.86,32.51456445315468,32.83979559025427
2026-03-27,California,USD,32.44,32.514564372486895,32.87987279438475
2026-03-30,California,USD,32.05,32.51456437569935,32.72901058919187
2026-03-31,California,USD,32.07,32.51456437557142,32.7405884926534
2026-04-01,California,USD,31.87,32.51456437557651,32.91830659152813
2026-04-02,California,USD,31.91,32.514564375576306,32.97582914856032
2026-04-03,California,USD,30.8,32.51456437557631,33.00534604422862
2026-04-06,California,USD,31.24,32.51456437557631,32.95034869085169
2026-04-07,California,USD,32.06,32.51456437557631,33.09867791291124
2026-04-08,California,USD,30.43,32.51456437557631,32.913982271880656
2026-04-09,California,USD,30.6,32.51456437557631,33.34957916759563
2026-04-10,California,USD,31.9,32.51456437557631,33.14061492655169
2026-04-13,California,USD,32.04,32.51456437557631,33.05758974731718
2026-04-14,California,USD,31.88,32.51456437557631,32.78835007754666
2026-04-15,California,USD,30.27,32.51456437557631,33.20921046510067
2026-04-16,California,USD,33.39,32.51456437557631,32.79404578749354
2026-04-17,California,USD,30.97,32.51456437557631,32.823273726831125
2026-04-20,California,USD,31.43,32.51456437557631,32.821139635352516
2026-04-21,California,USD,31.08,32.51456437557631,32.79691749404734
2026-04-22,California,USD,33.12,32.51456437557631,32.8631306199806
2026-04-23,California,USD,32.4,32.51456437557631,32.73049115656869
2026-04-24,California,USD,31.67,32.51456437557631,32.826974862759286
2026-04-27,California,USD,31.59,32.51456437557631,33.15022236325092
2026-04-28,California,USD,32.16,32.51456437557631,32.909728378379306
2026-04-29,California,USD,31.03,32.51456437557631,33.16625227342935
2026-04-30,California,USD,32.31,32.51456437557631,32.91829963827342
2026-03-20,China_ETS,CNY,116.17,113.1095870064893,109.17007327467907
2026-03-23,China_ETS,CNY,112.07,113.00178973503408,112.38789133134422
2026-03-24,China_ETS,CNY,111.63,113.00558771551594,112.3939096777291
2026-03-25,China_ETS,CNY,119.52,113.00545390270653,112.52390455585483
2026-03-26,China_ETS,CNY,109.83,113.00545861728263,109.31791259463239
2026-03-27,China_ETS,CNY,114.25,113.00545845117576,109.56424745814252
2026-03-30,China_ETS,CNY,112.04,113.00545845702814,111.60259179903387
2026-03-31,China_ETS,CNY,111.64,113.00545845682194,110.89272974011108
2026-04-01,China_ETS,CNY,109.7,113.0054584568292,112.18914991073825
2026-04-02,China_ETS,CNY,114.0,113.00545845682895,112.45668100092544
2026-04-03,China_ETS,CNY,111.41,113.00545845682896,111.94267349852127
2026-04-06,China_ETS,CNY,115.7,113.00545845682896,110.57166679624056
2026-04-07,China_ETS,CNY,113.91,113.00545845682896,109.92229156800187
2026-04-08,China_ETS,CNY,113.2,113.00545845682896,111.81065759154383
2026-04-09,China_ETS,CNY,111.67,113.00545845682896,111.83167198621398
2026-04-10,China_ETS,CNY,118.32,113.00545845682896,110.64412926075727
2026-04-13,China_ETS,CNY,116.41,113.00545845682896,109.88062558984863
2026-04-14,China_ETS,CNY,112.4,113.00545845682896,109.85083566761655
2026-04-15,China_ETS,CNY,110.55,113.00545845682896,112.27035694596475
2026-04-16,China_ETS,CNY,109.14,113.00545845682896,112.63317643403126
2026-04-17,China_ETS,CNY,117.76,113.00545845682896,110.12367611168528
2026-04-20,China_ETS,CNY,117.22,113.00545845682896,109.9046525932412
2026-04-21,China_ETS,CNY,117.66,113.00545845682896,109.80463825814083
2026-04-22,China_ETS,CNY,114.32,113.00545845682896,110.73125417160823
2026-04-23,China_ETS,CNY,117.04,113.00545845682896,110.59654957224345
2026-04-24,China_ETS,CNY,117.73,113.00545845682896,110.5830730262951
2026-04-27,China_ETS,CNY,114.67,113.00545845682896,111.71764162257418
2026-04-28,China_ETS,CNY,113.89,113.00545845682896,109.81878975619823
2026-04-29,China_ETS,CNY,112.19,113.00545845682896,110.12959477814947
2026-04-30,China_ETS,CNY,116.23,113.00545845682896,110.06547975730189
2026-03-20,EU_ETS,EUR,79.79,82.85294345588252,83.27023520107349
2026-03-23,EU_ETS,EUR,82.39,83.02364881935215,82.89270258854276
2026-03-24,EU_ETS,EUR,79.94,83.00378569871502,84.53113806547627
2026-03-25,EU_ETS,EUR,82.85,83.00609695334362,83.72791251398277
2026-03-26,EU_ETS,EUR,85.07,83.00582801785983,82.74543880300963
2026-03-27,EU_ETS,EUR,85.15,83.00585931094781,82.50261040344971
2026-03-30,EU_ETS,EUR,82.2,83.00585566971259,82.98588651155035
2026-03-31,EU_ETS,EUR,84.87,83.00585609340341,83.07324935541241
2026-04-01,EU_ETS,EUR,83.4,83.00585604410313,83.37814446239558
2026-04-02,EU_ETS,EUR,86.74,83.00585604983966,83.77690957274505
2026-04-03,EU_ETS,EUR,83.6,83.00585604917217,83.51959090406082
2026-04-06,EU_ETS,EUR,77.98,83.00585604924984,83.36382959392041
2026-04-07,EU_ETS,EUR,85.94,83.0058560492408,83.47138707806332
2026-04-08,EU_ETS,EUR,83.12,83.00585604924186,82.91400236326275
2026-04-09,EU_ETS,EUR,83.55,83.00585604924173,82.57815633815943
2026-04-10,EU_ETS,EUR,84.88,83.00585604924174,82.76351632147535
2026-04-13,EU_ETS,EUR,81.34,83.00585604924174,82.38965992447334
2026-04-14,EU_ETS,EUR,84.49,83.00585604924174,82.42988650831224
2026-04-15,EU_ETS,EUR,85.51,83.00585604924174,82.45471098652636
2026-04-16,EU_ETS,EUR,85.19,83.00585604924174,82.45226127555887
2026-04-17,EU_ETS,EUR,83.2,83.00585604924174,82.65446427604101
